State ID,State,Municipality ID,Municipality,Academic Degree ID,Academic Degree,Population
9,Ciudad de México,9007,Iztapalapa,3,Secundaria,907789
15,Estado de México,15033,Ecatepec de Morelos,3,Secundaria,834730
9,Ciudad de México,9007,Iztapalapa,2,Primaria,810251
15,Estado de México,15033,Ecatepec de Morelos,2,Primaria,791611
9,Ciudad de México,9007,Iztapalapa,4,Preparatoria o Bachillerato General,684610
15,Estado de México,15033,Ecatepec de Morelos,4,Preparatoria o Bachillerato General,652741
15,Estado de México,15058,Nezahualcóyotl,3,Secundaria,515538
9,Ciudad de México,9007,Iztapalapa,11,Licenciatura,505174
9,Ciudad de México,9005,Gustavo A. Madero,3,Secundaria,497303
15,Estado de México,15058,Nezahualcóyotl,2,Primaria,478451
9,Ciudad de México,9005,Gustavo A. Madero,2,Primaria,470285
9,Ciudad de México,9005,Gustavo A. Madero,11,Licenciatura,442154
15,Estado de México,15106,Toluca,3,Secundaria,435510
9,Ciudad de México,9005,Gustavo A. Madero,4,Preparatoria o Bachillerato General,432566
15,Estado de México,15106,Toluca,2,Primaria,425090
15,Estado de México,15058,Nezahualcóyotl,4,Preparatoria o Bachillerato General,414129
15,Estado de México,15057,Naucalpan de Juárez,3,Secundaria,403373
15,Estado de México,15031,Chimalhuacán,2,Primaria,400255
15,Estado de México,15031,Chimalhuacán,3,Secundaria,390973
15,Estado de México,15033,Ecatepec de Morelos,11,Licenciatura,389896
15,Estado de México,15057,Naucalpan de Juárez,2,Primaria,383872
9,Ciudad de México,9014,Benito Juárez,11,Licenciatura,345632
9,Ciudad de México,9003,Coyoacán,11,Licenciatura,341920
9,Ciudad de México,9010,Álvaro Obregón,3,Secundaria,331102
9,Ciudad de México,9010,Álvaro Obregón,2,Primaria,312553
15,Estado de México,15104,Tlalnepantla de Baz,3,Secundaria,300728
15,Estado de México,15104,Tlalnepantla de Baz,2,Primaria,298954
15,Estado de México,15058,Nezahualcóyotl,11,Licenciatura,296179
9,Ciudad de México,9015,Cuauhtémoc,11,Licenciatura,292771
9,Ciudad de México,9012,Tlalpan,3,Secundaria,292395
9,Ciudad de México,9010,Álvaro Obregón,11,Licenciatura,288987
15,Estado de México,15057,Naucalpan de Juárez,4,Preparatoria o Bachillerato General,281098
15,Estado de México,15039,Ixtapaluca,3,Secundaria,280214
9,Ciudad de México,9012,Tlalpan,2,Primaria,273249
9,Ciudad de México,9012,Tlalpan,11,Licenciatura,270648
15,Estado de México,15109,Tultitlán,3,Secundaria,260478
15,Estado de México,15057,Naucalpan de Juárez,11,Licenciatura,257873
15,Estado de México,15039,Ixtapaluca,2,Primaria,253373
15,Estado de México,15106,Toluca,11,Licenciatura,251980
15,Estado de México,15104,Tlalnepantla de Baz,4,Preparatoria o Bachillerato General,249125
15,Estado de México,15081,Tecámac,3,Secundaria,248345
9,Ciudad de México,9016,Miguel Hidalgo,11,Licenciatura,241737
15,Estado de México,15031,Chimalhuacán,4,Preparatoria o Bachillerato General,241581
15,Estado de México,15106,Toluca,4,Preparatoria o Bachillerato General,240748
9,Ciudad de México,9010,Álvaro Obregón,4,Preparatoria o Bachillerato General,240411
15,Estado de México,15013,Atizapán de Zaragoza,3,Secundaria,239988
15,Estado de México,15104,Tlalnepantla de Baz,11,Licenciatura,239805
15,Estado de México,15013,Atizapán de Zaragoza,2,Primaria,229941
15,Estado de México,15121,Cuautitlán Izcalli,3,Secundaria,229142
15,Estado de México,15109,Tultitlán,2,Primaria,227609
15,Estado de México,15122,Valle de Chalco Solidaridad,2,Primaria,227163
15,Estado de México,15122,Valle de Chalco Solidaridad,3,Secundaria,226428
9,Ciudad de México,9012,Tlalpan,4,Preparatoria o Bachillerato General,226104
15,Estado de México,15060,Nicolás Romero,3,Secundaria,225001
15,Estado de México,15060,Nicolás Romero,2,Primaria,223992
15,Estado de México,15081,Tecámac,4,Preparatoria o Bachillerato General,215040
9,Ciudad de México,9013,Xochimilco,3,Secundaria,211174
15,Estado de México,15109,Tultitlán,4,Preparatoria o Bachillerato General,211024
15,Estado de México,15121,Cuautitlán Izcalli,2,Primaria,210966
15,Estado de México,15025,Chalco,3,Secundaria,208987
15,Estado de México,15121,Cuautitlán Izcalli,11,Licenciatura,207168
15,Estado de México,15081,Tecámac,2,Primaria,206009
9,Ciudad de México,9003,Coyoacán,4,Preparatoria o Bachillerato General,203708
15,Estado de México,15121,Cuautitlán Izcalli,4,Preparatoria o Bachillerato General,203300
9,Ciudad de México,9003,Coyoacán,3,Secundaria,203284
15,Estado de México,15039,Ixtapaluca,4,Preparatoria o Bachillerato General,201128
9,Ciudad de México,9011,Tláhuac,3,Secundaria,193681
15,Estado de México,15025,Chalco,2,Primaria,192113
9,Ciudad de México,9015,Cuauhtémoc,4,Preparatoria o Bachillerato General,189632
9,Ciudad de México,9013,Xochimilco,2,Primaria,188343
9,Ciudad de México,9002,Azcapotzalco,11,Licenciatura,187259
9,Ciudad de México,9017,Venustiano Carranza,4,Preparatoria o Bachillerato General,185549
9,Ciudad de México,9017,Venustiano Carranza,3,Secundaria,184393
15,Estado de México,15013,Atizapán de Zaragoza,4,Preparatoria o Bachillerato General,183694
9,Ciudad de México,9003,Coyoacán,2,Primaria,181586
9,Ciudad de México,9015,Cuauhtémoc,3,Secundaria,180107
9,Ciudad de México,9006,Iztacalco,11,Licenciatura,173243
9,Ciudad de México,9017,Venustiano Carranza,11,Licenciatura,169691
15,Estado de México,15013,Atizapán de Zaragoza,11,Licenciatura,167204
9,Ciudad de México,9017,Venustiano Carranza,2,Primaria,165843
9,Ciudad de México,9015,Cuauhtémoc,2,Primaria,164363
15,Estado de México,15070,La Paz,2,Primaria,164203
9,Ciudad de México,9011,Tláhuac,2,Primaria,163536
15,Estado de México,15070,La Paz,3,Secundaria,162003
9,Ciudad de México,9002,Azcapotzalco,3,Secundaria,159764
9,Ciudad de México,9002,Azcapotzalco,4,Preparatoria o Bachillerato General,158440
9,Ciudad de México,9006,Iztacalco,4,Preparatoria o Bachillerato General,157961
9,Ciudad de México,9006,Iztacalco,3,Secundaria,156947
9,Ciudad de México,9002,Azcapotzalco,2,Primaria,155681
9,Ciudad de México,9007,Iztapalapa,1,Preescolar o Kínder,148888
9,Ciudad de México,9013,Xochimilco,4,Preparatoria o Bachillerato General,145832
9,Ciudad de México,9006,Iztacalco,2,Primaria,143736
15,Estado de México,15033,Ecatepec de Morelos,0,Ninguno,143446
15,Estado de México,15060,Nicolás Romero,4,Preparatoria o Bachillerato General,143318
9,Ciudad de México,9007,Iztapalapa,0,Ninguno,140585
9,Ciudad de México,9011,Tláhuac,4,Preparatoria o Bachillerato General,137921
15,Estado de México,15120,Zumpango,3,Secundaria,137026
15,Estado de México,15025,Chalco,4,Preparatoria o Bachillerato General,134728
15,Estado de México,15033,Ecatepec de Morelos,1,Preescolar o Kínder,130742
15,Estado de México,15099,Texcoco,3,Secundaria,129071
