latitude,longitude,name,comments,rating,cp
19.3569661,-99.1989753,Oxxo Zamora,12.0,3.3,1000
19.3437141,-99.1897263,Oxxo Plaza del Carmen,,,1000
19.3609272,-99.1852465,Oxxo,15.0,3.0,1000
19.3483164,-99.1855199,Oxxo La Paz,13.0,3.5,1000
19.3599485,-99.1831651,Oxxo,15.0,3.7,1000
19.3516214,-99.1859118,OXXO,9.0,3.0,1000
19.3653662,-99.2022076,Oxxo Merced Gómez,6.0,3.3,1000
19.3359656,-99.1804397,Oxxo odontología,44.0,3.7,1000
19.3393228,-99.1902434,Oxxo,26.0,3.1,1000
19.3514102,-99.178246,OXXO,10.0,3.2,1000
19.3583535,-99.2061085,Oxxo albulferas mex,11.0,3.0,1000
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,1000
19.3647291,-99.1954175,Oxxo Plateros,54.0,3.5,1000
19.3395333,-99.2050655,Oxxo Queretaro,21.0,4.4,1000
19.3625408,-99.1963994,OXXO,11.0,2.8,1000
19.3661986,-99.1770963,Oxxo,40.0,3.1,1000
19.3456998,-99.1746496,Oxxo,67.0,4.1,1000
19.3383994,-99.1950067,Oxxo,12.0,3.1,1000
19.3626356,-99.1916518,Oxxo Periférico,80.0,3.9,1000
19.3400074,-99.1996131,OXXO,14.0,3.4,1000
19.3486558,-99.2018531,OXXO ATLAMAYA,13.0,3.0,1000
19.341728,-99.1814947,Oxxo,32.0,3.1,1000
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,1000
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24.0,2.5,1000
19.3671076,-99.1920201,Oxxo Ocaranza,27.0,3.9,1000
19.363106,-99.1908927,OXXO,6.0,3.8,1000
19.331966,-99.2091346,Oxxo,22.0,3.0,1000
19.3556489,-99.1742501,Oxxo,9.0,3.3,1000
19.3671843,-99.1813912,Oxxo San Jose,9.0,2.7,1000
19.362687,-99.1807173,Oxxo Camelia,10.0,3.8,1000
19.3371478,-99.1836077,Oxxo,13.0,3.8,1000
19.3715169,-99.1869525,OXXO Sagredo,10.0,3.0,1000
19.3675747,-99.1888702,Oxxo,12.0,3.8,1000
19.338251,-99.2211707,Oxxo,6.0,1.7,1000
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,1000
19.3694779,-99.1735051,OXXO,51.0,3.6,1000
19.3531644,-99.2163028,Oxxo Águilas del Sur,13.0,3.7,1000
19.3727585,-99.1795477,Oxxo,19.0,1.8,1000
19.3429262,-99.2238543,Oxxo Leones de San Agustin,13.0,4.1,1000
19.3452386,-99.1674855,OXXO Miguel Angel de Quevedo,16.0,3.7,1000
19.3626356,-99.1916518,Oxxo Periférico,80.0,3.9,1010
19.363106,-99.1908927,OXXO,6.0,3.8,1010
19.3569661,-99.1989753,Oxxo Zamora,12.0,3.3,1010
19.3625408,-99.1963994,OXXO,11.0,2.8,1010
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,1010
19.3647291,-99.1954175,Oxxo Plateros,54.0,3.5,1010
19.3671076,-99.1920201,Oxxo Ocaranza,27.0,3.9,1010
19.3653662,-99.2022076,Oxxo Merced Gómez,6.0,3.3,1010
19.3609272,-99.1852465,Oxxo,15.0,3.0,1010
19.3583535,-99.2061085,Oxxo albulferas mex,11.0,3.0,1010
19.3516214,-99.1859118,OXXO,9.0,3.0,1010
19.3483164,-99.1855199,Oxxo La Paz,13.0,3.5,1010
19.3514102,-99.178246,OXXO,10.0,3.2,1010
19.3675747,-99.1888702,Oxxo,12.0,3.8,1010
19.3753798,-99.1866935,Oxxo EXTREMADURA,10.0,3.5,1010
19.3671843,-99.1813912,Oxxo San Jose,9.0,2.7,1010
