latitude,longitude,name,comments,rating,cp
19.4511956,-99.1725448,Oxxo Plan de Ayala,154,3.7,11330
19.4445676,-99.1676939,OXXO Tlaxpana,8,3.5,11330
19.4498118,-99.164592,OXXO,17,2.8,11330
19.445691,-99.167022,OXXO Maestros,13,2.9,11330
19.4488792,-99.1722207,Oxxo,33,3.6,11330
19.4407421,-99.166367,OXXO,14,4.0,11330
19.4509819,-99.1712018,Oxxo José parres,,,11330
19.4619655,-99.1758566,OXXO Biólogo,15,3.9,11330
19.4539135,-99.1766281,OXXO MEXICO TACUBA,18,3.7,11330
19.4425001,-99.1742479,OXXO,9,3.1,11330
19.4468424,-99.1574657,OXXO,9,3.4,11330
19.4447067,-99.1761586,OXXO,47,3.7,11330
19.451153,-99.1608224,OXXO Fresno,37,4.0,11330
19.4432774,-99.164563,OXXO San Cosme,137,3.9,11330
19.4362459,-99.1748294,Oxxo,8,3.9,11330
19.4628973,-99.1713479,OXXO,13,2.3,11330
19.4318035,-99.1732996,Oxxo Anzures,25,2.3,11330
19.4640836,-99.1556617,OXXO,138,4.2,11330
19.4381584,-99.1513015,OXXO Puente de Alvarado,8,4.1,11330
19.4582188,-99.1842213,Oxxo Golfo de California,70,4.1,11330
19.4292689,-99.1782537,Oxxo Darwin II,31,3.5,11330
19.447683,-99.1624357,Oxxo Cedro,10,3.3,11330
19.4445208,-99.1789268,Oxxo Lago Texcoco,5,3.4,11330
19.4480133,-99.151598,Oxxo,8,1.5,11330
19.4454618,-99.1830273,Oxxo,32,3.2,11330
19.4581385,-99.179526,OXXO Mar Egeo,15,1.9,11330
19.4511227,-99.1903175,Oxxo Lago Chiem,27,3.9,11330
19.4565986,-99.1884229,Oxxo,16,3.5,11330
19.4393637,-99.159395,Oxxo,22,3.8,11330
19.4548353,-99.1553594,Oxxo,7,2.9,11330
19.4551643,-99.1578241,OXXO Naranjo,10,3.5,11330
19.4357663,-99.1695752,Oxxo,7,3.3,11330
19.4281294,-99.1641174,Oxxo,16,2.9,11330
19.4479703,-99.1531841,Oxxo,323,3.6,11330
