latitude,longitude,name,comments,rating,Address,Neighborhood,City,Postal,Subregion,Region,Bajo,Medio Bajo,Medio Alto,Alto
19.3537529,-99.1899374,OXXO Helenico,4.0,4.3,Avenida Revolución,Sn Ángel,Guadalupe Inn,01020,alvaro obregon,ciudad de méxico,,104,80,24
19.3483164,-99.1855199,Oxxo La Paz,13.0,3.5,Avenida Miguel Ángel de Quevedo 36B,,Chimalistac,01050,alvaro obregon,ciudad de méxico,,104,80,24
19.3516214,-99.1859118,OXXO,9.0,3.0,Avenida Vito Alessio Robles 12,,Florida,01030,alvaro obregon,ciudad de méxico,,104,80,24
19.3416291,-99.2030682,Oxxo,27.0,4.0,Calle Veracruz 87,,Progreso Tizapán,01080,alvaro obregon,ciudad de méxico,,104,80,24
19.3609272,-99.1852465,Oxxo,15.0,3.0,Calle Manuel M. Ponce,Sn Ángel,Guadalupe Inn,01020,alvaro obregon,ciudad de méxico,,104,80,24
19.3580665,-99.1844114,Oxxo Villa nueva,5.0,1.8,Avenida Insurgentes Sur 1765,Sn Ángel,Guadalupe Inn,01020,alvaro obregon,ciudad de méxico,,104,80,24
19.3437141,-99.1897263,Oxxo Plaza del Carmen,,,Doctor Gálvez,Sn Ángel,San Ángel,01000,alvaro obregon,ciudad de méxico,,104,80,24
19.3393228,-99.1902434,Oxxo,26.0,3.1,Avenida Insurgentes Sur,,Chimalistac,01070,alvaro obregon,ciudad de méxico,,104,80,24
19.3486558,-99.2018531,OXXO ATLAMAYA,13.0,3.0,Boulevard Adolfo López Mateos,,Atlamaya,01760,alvaro obregon,ciudad de méxico,,104,80,24
19.3395333,-99.2050655,Oxxo Queretaro,21.0,4.4,Calle Querétaro 51,,Progreso Tizapán,01080,alvaro obregon,ciudad de méxico,,104,80,24
19.3383994,-99.1950067,Oxxo,12.0,3.1,Eje 10 Sur,Sn Ángel,Loreto,01090,alvaro obregon,ciudad de méxico,,104,80,24
19.3411312,-99.2086388,Oxxo,54.0,3.7,10 de Mayo 48,,Lomas de San Ángel Inn,01790,alvaro obregon,ciudad de méxico,,104,80,24
